Levenshtein Distance,Body tags in source,Number of parameter,Digit to alphabet ratio,Entropy,Equals,IP Address,Host name length,ASN Postal Code,Percentage Character,Path length,Special Characters,Escape() function,Total links,Word based distribution,English Letters,Is www present,Question Mark,Numeric Character,Delimiters,At Character,Frame tag present,Underscore,Domain to URL Ratio,Is domain suspicious,Label
0,1,0,0.266666666666667,3.88684218813101,0,1,17,1,0,0,5,0,62,1,15,0,0,4,0,0,0,0,0.708333333333333,1,0
0,0,0,0.0,3.85015313865574,0,0,35,0,0,0,5,0,0,1,37,0,0,0,0,0,0,0,0.833333333333333,0,0
0,0,0,0.0,3.66353275480426,0,0,15,0,0,0,6,0,0,1,16,0,0,0,0,0,0,0,0.681818181818182,0,0
18,1,0,0.0,3.86599861327458,0,1,20,1,0,0,6,0,8,1,21,0,0,0,0,0,0,0,0.740740740740741,7,0
0,0,0,0.153846153846154,3.68418371977919,0,0,13,0,0,0,5,0,0,1,13,0,0,2,0,0,0,0,0.65,0,0
0,1,0,0.0,3.9677201004745,0,1,21,1,0,0,6,0,130,1,22,0,0,0,0,0,1,0,0.75,14,0
0,0,0,0.0,3.85656476213095,0,0,23,0,0,0,5,0,0,1,25,0,0,0,0,0,0,0,0.766666666666667,0,0
0,1,0,0.0,3.68418371977919,0,1,13,1,0,0,5,0,126,1,15,0,0,0,0,0,1,0,0.65,0,0
0,0,0,0.0,3.75416342776888,0,1,20,1,0,0,5,0,0,1,22,0,0,0,0,0,0,0,0.740740740740741,0,0
35,0,0,0.0,4.10346518960165,0,0,18,0,0,0,6,0,0,1,19,0,0,0,0,0,0,0,0.72,0,0
0,1,0,0.0,3.85140976555739,0,1,25,1,0,0,6,0,256,1,26,0,0,0,0,0,0,0,0.78125,75,0
0,1,0,0.0,3.43162356584743,0,1,12,1,0,0,5,0,180,1,14,0,0,0,0,0,1,0,0.631578947368421,11,0
12,1,0,0.0,3.64248967316613,0,1,16,1,0,0,6,0,27,1,17,0,0,0,0,0,1,0,0.695652173913044,70,0
9,1,0,0.0769230769230769,3.57661764490867,0,1,12,1,0,0,5,0,733,1,13,0,0,1,0,0,0,0,0.631578947368421,27,0
9,1,0,0.0,3.86469832616696,0,1,24,1,0,0,6,0,369,1,25,0,0,0,0,0,0,0,0.774193548387097,54,0
50,0,0,0.0,3.95822916866988,0,1,20,1,0,0,6,0,0,1,21,0,0,0,0,0,0,0,0.740740740740741,0,0
9,1,0,0.0,3.80291007964973,0,1,23,1,0,0,5,0,122,1,25,0,0,0,0,0,1,0,0.766666666666667,221,0
22,1,0,0.0,3.66353275480425,0,1,15,1,0,0,6,0,184,1,16,0,0,0,0,0,1,0,0.681818181818182,58,0
16,1,0,0.0,3.95006375643621,0,1,19,1,0,0,6,0,0,1,20,0,0,0,0,0,0,0,0.730769230769231,0,0
28,1,0,0.142857142857143,3.68970373219955,0,1,14,1,0,0,5,0,69,1,14,0,0,2,0,0,1,0,0.666666666666667,17,0
20,1,0,0.0,3.4970558484728,0,1,16,1,0,0,5,0,667,1,18,0,0,0,0,0,1,0,0.695652173913044,25,0
9,1,0,0.0,3.51326968951511,0,1,18,1,0,0,6,0,54,1,19,0,0,0,0,0,0,0,0.72,2,0
23,1,0,0.0,3.58835434717323,0,1,16,1,0,0,5,0,130,1,18,0,0,0,0,0,1,0,0.695652173913044,105,0
9,1,0,0.0,3.95021206491475,0,1,21,1,0,0,5,0,0,1,23,0,0,0,0,0,1,0,0.75,0,0
9,1,0,0.0,3.3502090290999,0,1,11,1,0,0,5,0,79,1,13,0,0,0,0,0,1,0,0.611111111111111,7,0
8,1,0,0.0,3.71929452566698,0,1,19,1,0,0,5,0,120,1,21,0,0,0,0,0,1,0,0.730769230769231,1,0
8,0,0,0.0,3.6292196865241,0,0,15,0,0,0,6,0,0,1,16,0,0,0,0,0,0,0,0.681818181818182,0,0
9,1,0,0.0,3.79508858639773,0,1,16,1,0,0,5,0,0,1,18,0,0,0,0,0,1,0,0.695652173913044,42,0
9,1,0,0.0,3.67531086891236,0,1,16,1,0,0,5,0,0,1,18,0,0,0,0,0,1,0,0.695652173913044,0,0
15,1,0,0.0,4.02126849490377,0,1,22,1,0,0,5,0,598,1,24,0,0,0,0,0,1,0,0.758620689655172,21,0
8,0,0,0.0588235294117647,3.96900162987599,0,1,16,1,0,0,5,0,0,1,17,0,0,1,0,0,0,0,0.695652173913044,0,0
54,1,0,0.0,4.03063906222957,0,1,25,1,0,0,6,0,40,1,26,0,0,0,0,0,1,0,0.78125,27,0
51,0,0,0.0666666666666666,3.78494182743764,0,1,14,1,0,0,5,0,0,1,15,0,0,1,0,0,0,0,0.666666666666667,0,0
30,0,0,0.0,3.76396574282408,0,0,20,0,0,0,5,0,0,1,22,0,0,0,0,0,0,0,0.740740740740741,0,0
9,1,0,0.0,3.95006375643621,0,1,19,1,0,0,5,0,314,1,21,0,0,0,0,0,1,0,0.730769230769231,124,0
9,1,0,0.0,3.94346518960165,0,1,18,1,0,0,5,0,68,1,20,0,0,0,0,0,0,0,0.72,6,0
0,1,0,0.0,3.82525173728865,0,1,19,1,0,0,5,0,0,1,21,0,0,0,0,0,1,0,0.730769230769231,34,0
9,1,0,0.0,3.65726822961739,0,1,17,1,0,0,5,0,92,1,19,0,0,0,0,0,1,0,0.708333333333333,5,0
26,0,0,0.0,3.79508858639773,0,0,16,0,0,0,5,0,0,1,18,0,0,0,0,0,0,0,0.695652173913044,0,0
9,1,0,0.0,3.7887549139935,0,1,15,1,0,0,6,0,141,1,16,0,0,0,0,0,1,0,0.681818181818182,23,0
9,1,0,0.0,3.55851861304891,0,1,14,1,0,0,5,0,17,1,16,0,0,0,0,0,0,0,0.666666666666667,15,0
8,1,0,0.0,3.68970373219955,0,1,14,1,0,0,5,1,629,1,16,0,0,0,0,0,0,0,0.666666666666667,1,0
